Time,X,Y,Z
3.500000000000001998e-01,1.142551550688299145e+01,-1.259451350327763741e+01,5.411073229547275076e+01
3.550000000000002043e-01,1.000681004772328464e+01,-1.323921907352150207e+01,5.235392102925563051e+01
3.600000000000002087e-01,8.638473872348397364e+00,-1.370927031754114367e+01,5.069547713397192723e+01
3.650000000000002132e-01,7.326809090620225895e+00,-1.403601728563057449e+01,4.914365859998707009e+01
3.700000000000002176e-01,6.076014018641419767e+00,-1.424771090875049318e+01,4.770172938926988593e+01
3.750000000000002220e-01,4.888496262906438794e+00,-1.436921276680534199e+01,4.636924854504069060e+01
3.800000000000002265e-01,3.765176084476170359e+00,-1.442197374314246439e+01,4.514316505624748999e+01
3.850000000000002309e-01,2.705767701610601428e+00,-1.442419097774743797e+01,4.401870894084522234e+01
3.900000000000002354e-01,1.709031633107000125e+00,-1.439107142457122457e+01,4.299008963037259434e+01
3.950000000000002398e-01,7.729952117725690242e-01,-1.433514873907137677e+01,4.205102398198746982e+01
4.000000000000002442e-01,-1.048588180059933928e-01,-1.426661623776243104e+01,4.119512084570543209e+01
4.050000000000002487e-01,-9.274339242819051865e-01,-1.419365155387360922e+01,4.041614943192754339e+01
4.100000000000002531e-01,-1.697888919161800292e+00,-1.412271836364210209e+01,3.970821657206298028e+01
4.150000000000002576e-01,-2.419531408246059279e+00,-1.405883755407611169e+01,3.906587462114714526e+01
4.200000000000002620e-01,-3.095732259207248482e+00,-1.400582496594659609e+01,3.848417804472610015e+01
4.250000000000002665e-01,-3.729857913001688896e+00,-1.396649590274616415e+01,3.795870315312043175e+01
4.300000000000002709e-01,-4.325217615775757807e+00,-1.394283841327176177e+01,3.748554224892877329e+01
4.350000000000002753e-01,-4.885022968133594823e+00,-1.393615831129111271e+01,3.706128074015514784e+01
4.400000000000002798e-01,-5.412357526157953735e+00,-1.394719928119369179e+01,3.668296355228927297e+01
4.450000000000002842e-01,-5.910154517698951615e+00,-1.397624144658291634e+01,3.634805540953666991e+01
4.500000000000002887e-01,-6.381181042330226205e+00,-1.402318159921989604e+01,3.605439818761918502e+01
4.550000000000002931e-01,-6.828027396520823800e+00,-1.408759799982846772e+01,3.580016750176771723e+01
4.600000000000002975e-01,-7.253100404712784055e+00,-1.416880233556990021e+01,3.558382992047000215e+01
4.650000000000003020e-01,-7.658619843018835027e+00,-1.426588109173653862e+01,3.540410163240536434e+01
4.700000000000003064e-01,-8.046617217799770572e+00,-1.437772829028059540e+01,3.525990899389581301e+01
4.750000000000003109e-01,-8.418936309901255299e+00,-1.450307127655434059e+01,3.515035110905978399e+01
4.800000000000003153e-01,-8.777235020506521934e+00,-1.464049100208526077e+01,3.507466441457315653e+01
4.850000000000003197e-01,-9.122988159950079279e+00,-1.478843805481238860e+01,3.503218913221798658e+01
4.900000000000003242e-01,-9.457490909670607238e+00,-1.494524552580383059e+01,3.502233739749513575e+01
4.950000000000003286e-01,-9.781862762572416159e+00,-1.510913966848016088e+01,3.504456285817281724e+01
5.000000000000003331e-01,-1.009705181077497116e+01,-1.527824919753857102e+01,3.509833155282162664e+01
5.050000000000003375e-01,-1.040383930396858325e+01,-1.545061398464147651e+01,3.518309391876769610e+01
5.100000000000003419e-01,-1.070284444784163469e+01,-1.562419383106201209e+01,3.529825783590707999e+01
5.150000000000003464e-01,-1.099452945138204107e+01,-1.579687792859768081e+01,3.544316268309732010e+01
5.200000000000003508e-01,-1.127920486500196340e+01,-1.596649555415898192e+01,3.561705446371040296e+01
5.250000000000003553e-01,-1.155703527878452874e+01,-1.613082847583303447e+01,3.581906214301958613e+01
5.300000000000003597e-01,-1.182804547181552657e+01,-1.628762547466239141e+01,3.604817542899149174e+01
5.350000000000003642e-01,-1.209212711941445484e+01,-1.643461930317279140e+01,3.630322431606823841e+01
5.400000000000003686e-01,-1.234904617480333755e+01,-1.656954630586392696e+01,3.658286079450768824e+01
5.450000000000003730e-01,-1.259845104490601386e+01,-1.669016881641627492e+01,3.688554320113218665e+01
5.500000000000003775e-01,-1.283988167605367892e+01,-1.679430032041500809e+01,3.720952374574930843e+01
5.550000000000003819e-01,-1.307277965390356123e+01,-1.687983323153019555e+01,3.755283978552562019e+01
5.600000000000003864e-01,-1.329649940248579298e+01,-1.694476897556404538e+01,3.791330943159005784e+01
5.650000000000003908e-01,-1.351032053981316672e+01,-1.698724991466198375e+01,3.828853205277231098e+01
5.700000000000003952e-01,-1.371346141205790303e+01,-1.700559247927900941e+01,3.867589418606378615e+01
